0xc0aS0xa70	0xc0eS0xa70
0xc0eS0xa70	0xc10S0xa70
0xc10S0xa70	0xc12S0xa70
0xc12S0xa70	0xc14S0xa70
0xc14S0xa70	0xc15S0xa70
0xc15S0xa70	0xc17S0xa70
0xc17S0xa70	0xc18S0xa70
0xc18S0xa70	0xc1bS0xa70
0xc77S0xd13	0xc7bS0xd13
0xc7cS0xd13	0xc81S0xd13
0xc81S0xd13	0xc82S0xd13
0xc82S0xd13	0xc84S0xd13
0xc85S0xd13	0xc88S0xd13
0xc88S0xd13	0xc89S0xd13
0xc89S0xd13	0xc8aS0xd13
0xc8aS0xd13	0xc8bS0xd13
0xc8bS0xd13	0xc8dS0xd13
0xe7eS0xf2e	0xe81S0xf2e
0xe6dS0xf2e	0xe6eS0xf2e
0xe6eS0xf2e	0xe70S0xf2e
0xe70S0xf2e	0xe72S0xf2e
0xe72S0xf2e	0xe74S0xf2e
0xe74S0xf2e	0xe75S0xf2e
0xe75S0xf2e	0xe77S0xf2e
0xe77S0xf2e	0xe79S0xf2e
0xe79S0xf2e	0xe7aS0xf2e
0xe7aS0xf2e	0xe7dS0xf2e
0xe7eS0xf38	0xe81S0xf38
0xe6dS0xf38	0xe6eS0xf38
0xe6eS0xf38	0xe70S0xf38
0xe70S0xf38	0xe72S0xf38
0xe72S0xf38	0xe74S0xf38
0xe74S0xf38	0xe75S0xf38
0xe75S0xf38	0xe77S0xf38
0xe77S0xf38	0xe79S0xf38
0xe79S0xf38	0xe7aS0xf38
0xe7aS0xf38	0xe7dS0xf38
0xe7eS0xf7e	0xe81S0xf7e
0xe6dS0xf7e	0xe6eS0xf7e
0xe6eS0xf7e	0xe70S0xf7e
0xe70S0xf7e	0xe72S0xf7e
0xe72S0xf7e	0xe74S0xf7e
0xe74S0xf7e	0xe75S0xf7e
0xe75S0xf7e	0xe77S0xf7e
0xe77S0xf7e	0xe79S0xf7e
0xe79S0xf7e	0xe7aS0xf7e
0xe7aS0xf7e	0xe7dS0xf7e
0xe7eS0xfaa	0xe81S0xfaa
0xe6dS0xfaa	0xe6eS0xfaa
0xe6eS0xfaa	0xe70S0xfaa
0xe70S0xfaa	0xe72S0xfaa
0xe72S0xfaa	0xe74S0xfaa
0xe74S0xfaa	0xe75S0xfaa
0xe75S0xfaa	0xe77S0xfaa
0xe77S0xfaa	0xe79S0xfaa
0xe79S0xfaa	0xe7aS0xfaa
0xe7aS0xfaa	0xe7dS0xfaa
0xfcaS0x11a	0xfccS0x11a
0xfccS0x11a	0xfd0S0x11a
0xfd0S0x11a	0xfd1S0x11a
0xfd1S0x11a	0xfd2S0x11a
0xfd2S0x11a	0xfd3S0x11a
0xfd3S0x11a	0xfd6S0x11a
0xfdcS0x11a	0xfe0S0x11a
0x103dS0x143	0x103fS0x143
0x103fS0x143	0x1043S0x143
0x1043S0x143	0x1044S0x143
0x1044S0x143	0x1045S0x143
0x1045S0x143	0x1046S0x143
0x1046S0x143	0x1049S0x143
0x104fS0x143	0x1050S0x143
0x1050S0x143	0x105bS0x143
0x105bS0x143	0x105cS0x143
0x105cS0x143	0x105dS0x143
0x105dS0x143	0x1060S0x143
0x1067S0x143	0x106bS0x143
0x106bS0x143	0x106eS0x143
0x106eS0x143	0x106fS0x143
0x106fS0x143	0x1070S0x143
0x1070S0x143	0x1073S0x143
0x1079S0x143	0x107cS0x143
0x107cS0x143	0x107dS0x143
0x107dS0x143	0x107eS0x143
